Spectrum	Date	Time	CH4 (PF) 191c	CH4 (PF) 191c average	CH4 (PF) 191c stdev	CH4 high 191C	CH4 high 191C average	CH4 high 191C stdev	CO ppm 191C (1of2)	CO ppm 191C (1of2) average	CO ppm 191C (1of2) stdev	CO2 ppm 191c	CO2 ppm 191c average	CO2 ppm 191c stdev	CO2% 191c	CO2% 191c average	CO2% 191c stdev	Formaldehyde 191c	Formaldehyde 191c average	Formaldehyde 191c stdev	Formic acid 191C	Formic acid 191C average	Formic acid 191C stdev	H2O ppm 191c	H2O ppm 191c average	H2O ppm 191c stdev	H2O% 191C	H2O% 191C average	H2O% 191C stdev	HCL 191C	HCL 191C average	HCL 191C stdev	Methyl chloride 191c	Methyl chloride 191c average	Methyl chloride 191c stdev	Toluene  191c	Toluene  191c average	Toluene  191c stdev	Temp (C)	Temp (C) average	Temp (C) stdev	Pressure (Atm)	Pressure (Atm) average	Pressure (Atm) stdev	CH4 autorange	CH4 autorange average	CH4 autorange stdev	CO2 autorange	CO2 autorange average	CO2 autorange stdev	Igram DC	Igram DC average	Igram DC stdev	Igram PP	Igram PP average	Igram PP stdev	phase Angle	phase Angle average	phase Angle stdev	laser PP	laser PP average	laser PP stdev	laser DC	laser DC average	laser DC stdev	Bad Scan counter	Bad Scan counter average	Bad Scan counter stdev	Centerburst Location	Centerburst Location average	Centerburst Location stdev	Linearizer Check	Linearizer Check average	Linearizer Check stdev	SNR 2500	SNR 2500 average	SNR 2500 stdev	sBeam @ 2500	sBeam @ 2500 average	sBeam @ 2500 stdev	
FTIR_034277.LAB	10/1/2024	13:54:46.495	19.048023	27.583078	7.923604	31.197602	17.357302	19.283442	0.005392	-0.012901	0.047784	8.086949	2.164517	9.104201	0.038360	0.080389	0.083092	-0.519850	-0.067684	0.632588	-0.077165	-0.146804	0.119151	316.809603	7320.698730	11835.433594	2.079479	1.776955	0.446945	0.965606	0.645391	0.285443	6.411951	5.372398	0.902114	2.574358	1.195245	1.345981	191.003540	190.987061	0.028526	0.996816	0.996816	0.000000	19.048023	27.583078	7.923604	8.086949	2.164517	9.104201	3.582174	3.582367	0.000729	4.171534	4.170849	0.000614	86.510124	86.523445	0.023068	5.039014	4.899378	0.125321	-3.340659	-3.342125	0.001269	0.000000	0.000000	0.000000	579.729736	579.729797	0.000161	0.002200	0.002254	0.000086	2135.063965	NaN	NaN	0.728514	0.729003	0.000752
FTIR_034278.LAB	10/1/2024	13:54:59.328	20.540962	25.822550	7.365699	37.788073	22.464994	18.768454	-0.011918	-0.012655	0.039018	7.433923	3.481868	7.886654	0.016330	0.064374	0.075025	-0.574667	-0.194429	0.575357	-0.034573	-0.118747	0.112310	186.587051	5537.170898	10300.916016	2.025000	1.838966	0.385428	0.778771	0.678736	0.242417	3.158011	4.818802	1.329818	1.068690	1.163606	1.100809	191.003540	190.991180	0.024704	0.996816	0.996816	0.000000	20.540962	25.822550	7.365699	7.433923	3.481868	7.886654	3.584682	3.582946	0.001301	4.173231	4.171445	0.001292	85.790871	86.340302	0.366770	4.817443	4.878894	0.110221	-3.342857	-3.342308	0.001099	0.000000	0.000000	0.000000	579.728394	579.729492	0.000716	0.002288	0.002262	0.000073	1745.809692	NaN	NaN	0.727067	0.728519	0.001146
FTIR_034279.LAB	10/1/2024	13:55:12.189	19.856213	24.629282	6.914448	34.450655	24.862125	17.114975	-0.033606	-0.016846	0.035066	6.262973	4.038089	6.942362	0.017583	0.055016	0.068260	-0.497033	-0.254950	0.516324	-0.119072	-0.118812	0.097263	237.422901	4477.221680	9230.337891	1.979991	1.867171	0.339697	0.781957	0.699380	0.214955	3.394632	4.533968	1.316041	1.858989	1.302683	1.002769	191.050156	191.002975	0.033958	0.996816	0.996816	0.000000	19.856213	24.629282	6.914448	6.262973	4.038089	6.942362	3.589254	3.584207	0.003038	4.175344	4.172225	0.002072	86.590042	86.390244	0.336696	5.004394	4.903994	0.110731	-3.340659	-3.341978	0.001204	0.000000	0.000000	0.000000	579.730957	579.729797	0.000918	0.002363	0.002282	0.000077	1904.696777	NaN	NaN	0.726702	0.728155	0.001283
FTIR_034280.LAB	10/1/2024	13:55:24.992	21.431676	24.096346	6.320742	38.439454	27.125015	16.280720	0.005402	-0.013138	0.032652	6.531093	4.453590	6.292294	0.018591	0.048945	0.062839	-0.511132	-0.297647	0.473509	-0.004518	-0.099763	0.098718	503.123247	3814.871826	8413.771484	1.927438	1.877215	0.304829	1.013022	0.751654	0.230997	4.987051	4.609482	1.191548	3.168891	1.613717	1.176815	191.079834	191.015793	0.043668	0.996816	0.996816	0.000000	21.431676	24.096346	6.320742	6.531093	4.453590	6.292294	3.596581	3.586269	0.005736	4.178247	4.173228	0.003079	86.550079	86.416893	0.308138	4.907456	4.904571	0.099051	-3.340659	-3.341758	0.001204	0.000000	0.000000	0.000000	579.730713	579.729919	0.000909	0.002247	0.002276	0.000071	1214.445923	NaN	NaN	0.726310	0.727848	0.001373
FTIR_034281.LAB	10/1/2024	13:55:37.826	19.885225	23.494757	5.985526	33.433508	28.026228	15.052249	-0.153934	-0.033251	0.060995	7.156115	4.839665	5.834167	0.015368	0.044148	0.058751	-0.396010	-0.311699	0.433849	-0.072078	-0.095808	0.090723	601.279276	3355.787109	7776.134277	1.878170	1.877352	0.278269	0.961920	0.781692	0.225349	6.248019	4.843559	1.251678	2.989442	1.810249	1.193504	191.079834	191.024933	0.046637	0.996816	0.996816	0.000000	19.885225	23.494757	5.985526	7.156115	4.839665	5.834167	3.605125	3.588963	0.008844	4.181981	4.174479	0.004341	86.590042	86.441628	0.288804	4.824367	4.893113	0.095367	-3.340659	-3.341602	0.001175	0.000000	0.000000	0.000000	579.731445	579.730164	0.001013	0.002366	0.002289	0.000073	1286.462036	NaN	NaN	0.725468	0.727508	0.001543
FTIR_034282.LAB	10/1/2024	13:55:50.663	21.013767	23.184633	5.610514	32.577173	28.595097	14.028255	-0.088758	-0.040190	0.059783	3.419844	4.662188	5.424665	0.023721	0.041595	0.054870	-0.434648	-0.327068	0.404011	-0.102443	-0.096637	0.084026	655.825081	3018.291748	7262.311523	1.824543	1.870751	0.258303	1.016537	0.811047	0.224548	6.399041	5.037994	1.282702	2.933001	1.950593	1.174108	191.079834	191.031799	0.047339	0.996816	0.996816	0.000000	21.013767	23.184633	5.610514	3.419844	4.662188	5.424665	3.613315	3.592007	0.011881	4.185010	4.175795	0.005479	85.790871	86.360283	0.352742	5.090945	4.917842	0.112640	-3.342857	-3.341758	0.001175	0.000000	0.000000	0.000000	579.733337	579.730530	0.001472	0.002321	0.002293	0.000068	1344.909302	NaN	NaN	0.725025	0.727197	0.001676
FTIR_034283.LAB	10/1/2024	13:56:03.545	19.863064	22.815571	5.363674	28.662745	28.602613	13.122249	0.071737	-0.027753	0.067225	5.598515	4.766224	5.083899	0.014924	0.038632	0.052090	-0.408399	-0.336104	0.378889	-0.088770	-0.095763	0.078642	590.021762	2748.483887	6841.321777	1.791797	1.861978	0.243050	0.993015	0.831266	0.218628	5.652359	5.106256	1.217209	3.220660	2.091712	1.177049	191.079834	191.037140	0.047087	0.996816	0.996816	0.000000	19.863064	22.815571	5.363674	5.598515	4.766224	5.083899	3.621428	3.595276	0.014822	4.188535	4.177210	0.006656	86.629997	86.390251	0.341989	4.841677	4.909380	0.108381	-3.342857	-3.341881	0.001158	0.000000	0.000000	0.000000	579.731567	579.730652	0.001419	0.002239	0.002287	0.000066	1788.081421	NaN	NaN	0.725489	0.727008	0.001668
FTIR_034284.LAB	10/1/2024	13:56:16.323	19.426943	22.476707	5.169209	38.263906	29.568745	12.743425	0.030662	-0.021912	0.066018	3.430667	4.632668	4.811718	0.023170	0.037085	0.049354	-0.427554	-0.345249	0.358389	-0.078180	-0.094005	0.074353	668.526211	2540.488037	6483.509766	1.756436	1.851424	0.231567	0.904147	0.838554	0.207409	6.879518	5.283583	1.277271	3.360801	2.218621	1.180070	191.079834	191.041412	0.046402	0.996816	0.996816	0.000000	19.426943	22.476707	5.169209	3.430667	4.632668	4.811718	3.628983	3.598647	0.017575	4.191678	4.178657	0.007766	85.870789	86.338303	0.361864	4.994008	4.917842	0.105629	-3.338462	-3.341539	0.001537	0.000000	0.000000	0.000000	579.732910	579.730835	0.001518	0.002340	0.002292	0.000065	1500.812622	NaN	NaN	0.724389	0.726746	0.001777
FTIR_034285.LAB	10/1/2024	13:56:29.160	18.771457	20.883343	2.968237	27.579414	32.793549	4.586422	-0.021353	-0.026351	0.064125	5.983626	6.062898	1.563682	0.029430	0.022418	0.007490	-0.275292	-0.438300	0.090284	-0.093525	-0.074919	0.033113	670.475667	508.970886	190.183670	1.713363	1.896401	0.122878	0.889131	0.885703	0.145423	5.893787	5.393449	1.277839	2.857033	2.515820	0.857114	191.079834	191.053986	0.035990	0.996816	0.996816	0.000000	18.771457	20.883343	2.968237	5.983626	6.062898	1.563682	3.637591	3.604089	0.020443	4.195055	4.181128	0.008702	85.950706	86.282364	0.375340	4.862450	4.917842	0.105629	-3.336264	-3.340879	0.002186	0.000000	0.000000	0.000000	579.733887	579.731323	0.001720	0.002195	0.002291	0.000067	1544.776978	1607.586060	290.636627	0.724923	0.726251	0.001474
FTIR_034286.LAB	10/1/2024	13:56:41.987	18.386194	19.822353	0.969273	33.463072	33.585560	3.814037	-0.137168	-0.033354	0.072369	4.852891	5.875660	1.587475	0.024234	0.022171	0.007373	-0.268538	-0.431312	0.100948	-0.051842	-0.072217	0.033850	735.016173	516.508667	198.145859	1.664706	1.864092	0.137752	0.894982	0.919909	0.086905	7.392944	5.641732	1.408063	3.237140	2.726901	0.726932	191.079834	191.061615	0.031973	0.996816	0.996816	0.000000	18.386194	19.822353	0.969273	4.852891	5.875660	1.587475	3.646967	3.610610	0.022793	4.198566	4.183918	0.009418	85.950706	86.222427	0.375694	4.942077	4.932383	0.096728	-3.340659	-3.340659	0.002072	0.000000	0.000000	0.000000	579.732544	579.731567	0.001694	0.002350	0.002291	0.000066	1267.080322	1573.213867	309.900726	0.724658	0.725854	0.001286
FTIR_034287.LAB	10/1/2024	13:56:54.820	20.061816	19.923733	0.931569	29.447051	33.410503	3.972690	0.070583	-0.026835	0.078890	3.934912	5.460456	1.484492	0.029907	0.021326	0.005576	-0.214254	-0.400753	0.116262	-0.146671	-0.079167	0.041296	790.667768	563.894531	201.710831	1.609499	1.817094	0.136267	0.913974	0.914746	0.085409	6.816338	5.682170	1.438127	3.065880	2.776053	0.732071	191.079834	191.069244	0.024897	0.996816	0.996816	0.000000	20.061816	19.923733	0.931569	3.934912	5.460456	1.484492	3.657180	3.618111	0.024660	4.202291	4.186994	0.009933	85.790871	86.150497	0.383268	4.810519	4.909534	0.095724	-3.342857	-3.340879	0.002186	0.000000	0.000000	0.000000	579.733765	579.731934	0.001694	0.002320	0.002303	0.000059	1921.086060	1551.816040	271.846985	0.724484	0.725451	0.000947
FTIR_034288.LAB	10/1/2024	13:57:07.658	21.385563	20.008190	1.027134	34.897885	33.121487	3.715646	0.080541	-0.017589	0.085936	3.691460	5.086210	1.401096	0.023982	0.022091	0.005334	-0.243191	-0.367605	0.108137	-0.114090	-0.087119	0.039366	986.696866	643.905518	193.955490	1.555378	1.770132	0.137572	0.704644	0.907333	0.100420	4.286590	5.795028	1.250013	2.180397	2.887223	0.487565	191.079834	191.076874	0.009385	0.996816	0.996816	0.000000	21.385563	20.008190	1.027134	3.691460	5.086210	1.401096	3.666822	3.626324	0.025935	4.206053	4.190276	0.010296	85.830826	86.154495	0.379290	4.935153	4.921305	0.090220	-3.345055	-3.341099	0.002495	0.000000	0.000000	0.000000	579.733948	579.732544	0.001250	0.002342	0.002308	0.000060	1815.424194	1558.777588	278.184235	0.724209	0.725166	0.000829
FTIR_034289.LAB	10/1/2024	13:57:20.485	22.190693	20.241638	1.233346	25.117121	32.188133	4.445296	-0.091855	-0.023414	0.089059	4.555734	4.915485	1.344652	0.036452	0.023978	0.006720	-0.225904	-0.340492	0.106050	-0.111021	-0.086314	0.038717	1074.780554	727.641296	179.157608	1.522133	1.724346	0.136151	0.752398	0.904377	0.104857	4.096835	5.865249	1.112327	2.321817	2.933506	0.391645	191.079834	191.079834	0.000000	0.996816	0.996816	0.000000	22.190693	20.241638	1.233346	4.555734	4.915485	1.344652	3.675733	3.634973	0.026610	4.209595	4.193701	0.010472	85.870789	86.082565	0.354934	5.004394	4.921305	0.090220	-3.340659	-3.341099	0.002495	0.000000	0.000000	0.000000	579.734192	579.732849	0.001222	0.002354	0.002307	0.000059	1563.702393	1524.677979	250.602524	0.724044	0.724900	0.000697
FTIR_034290.LAB	10/1/2024	13:57:33.346	22.893828	20.387854	1.456572	34.219177	31.766108	3.959672	0.098854	-0.014069	0.096971	2.757587	4.538135	1.370126	0.016914	0.023810	0.006888	-0.203110	-0.309690	0.095153	-0.051395	-0.091002	0.029439	1143.513837	791.680298	202.870697	1.496121	1.681215	0.132946	0.756909	0.878766	0.106635	4.439790	5.810522	1.172186	3.004570	2.917074	0.384045	191.079834	191.079834	0.000000	0.996816	0.996816	0.000000	22.893828	20.387854	1.456572	2.757587	4.538135	1.370126	3.684433	3.643758	0.027026	4.212679	4.197145	0.010487	86.550079	86.082565	0.354934	5.007855	4.931345	0.094014	-3.340659	-3.341099	0.002495	0.000000	0.000000	0.000000	579.734314	579.733215	0.001047	0.002354	0.002318	0.000056	1647.534180	1567.986816	227.378220	0.723801	0.724649	0.000574
FTIR_034291.LAB	10/1/2024	13:57:46.155	22.041829	20.603514	1.531604	40.519875	32.474743	4.829741	0.105028	0.011827	0.089781	2.501382	4.072661	1.155811	0.032667	0.025540	0.006702	-0.202099	-0.290299	0.095366	-0.075580	-0.091352	0.029209	1203.165996	851.868958	227.852264	1.451419	1.638540	0.131180	0.654473	0.848021	0.123053	5.438838	5.729604	1.166545	2.413307	2.859461	0.414028	191.079834	191.079834	0.000000	0.996816	0.996816	0.000000	22.041829	20.603514	1.531604	2.501382	4.072661	1.155811	3.693646	3.652610	0.027460	4.215961	4.200542	0.010533	86.629997	86.086563	0.361446	4.935153	4.942423	0.086211	-3.345055	-3.341539	0.002780	0.000000	0.000000	0.000000	579.736145	579.733704	0.001217	0.002309	0.002312	0.000054	1445.055908	1583.846191	210.461990	0.724005	0.724503	0.000527
FTIR_034292.LAB	10/1/2024	13:57:58.982	22.103552	20.712492	1.601227	26.419231	31.858948	5.194059	-0.103921	0.010311	0.091774	2.712931	4.001970	1.220010	0.024795	0.025647	0.006678	-0.221986	-0.269033	0.082435	0.012491	-0.079858	0.043484	1261.875179	912.473938	249.486588	1.398831	1.595968	0.133173	0.744594	0.820827	0.111147	3.770320	5.466733	1.288715	3.018626	2.868023	0.416595	191.079834	191.079834	0.000000	0.996816	0.996816	0.000000	22.103552	20.712492	1.601227	2.712931	4.001970	1.220010	3.701581	3.661437	0.027611	4.219306	4.203972	0.010497	86.629997	86.170486	0.381992	5.063248	4.939653	0.081209	-3.340659	-3.341319	0.002751	0.000000	0.000000	0.000000	579.737061	579.734009	0.001612	0.002380	0.002318	0.000058	1694.799805	1618.835205	194.829178	0.723607	0.724361	0.000560
FTIR_034293.LAB	10/1/2024	13:58:11.814	20.608454	20.787031	1.574416	31.672786	32.159950	5.074087	0.025002	0.005637	0.089460	2.098163	3.651935	1.213173	0.010955	0.025251	0.007459	-0.133310	-0.241524	0.076441	-0.166214	-0.087603	0.051420	1328.132302	986.284973	252.654297	1.390361	1.555825	0.127986	0.717144	0.793240	0.096996	3.806075	5.282104	1.387625	2.510009	2.796958	0.410322	191.079834	191.079834	0.000000	0.996816	0.996816	0.000000	20.608454	20.787031	1.574416	2.098163	3.651935	1.213173	3.708847	3.670178	0.027374	4.221802	4.207299	0.010331	85.830826	86.090561	0.358019	4.865911	4.942077	0.078269	-3.342857	-3.341319	0.002751	0.000000	0.000000	0.000000	579.736938	579.734497	0.001596	0.002358	0.002330	0.000051	1635.532959	1603.580566	185.871262	0.723718	0.724184	0.000428
FTIR_034294.LAB	10/1/2024	13:58:24.652	22.610491	21.105387	1.590623	26.508202	30.984381	4.860059	-0.031451	-0.000574	0.089685	2.730166	3.581885	1.247118	0.017915	0.024725	0.007799	-0.049158	-0.203684	0.067221	-0.104887	-0.090274	0.051569	1427.001072	1062.132568	260.392731	1.348677	1.515049	0.121775	0.676138	0.770439	0.094803	5.313106	5.125463	1.270756	2.630189	2.723897	0.360831	191.079834	191.079834	0.000000	0.996816	0.996816	0.000000	22.610491	21.105387	1.590623	2.730166	3.581885	1.247118	3.714747	3.678755	0.026453	4.224139	4.210545	0.009971	86.629997	86.166481	0.385667	4.935153	4.936191	0.076113	-3.338462	-3.341319	0.002751	0.000000	0.000000	0.000000	579.734924	579.734741	0.001485	0.002435	0.002340	0.000061	1722.085937	1625.707886	185.448166	0.723872	0.724132	0.000432
FTIR_034295.LAB	10/1/2024	13:58:37.479	22.154323	21.443674	1.385616	25.852391	30.811680	5.022470	-0.119799	-0.010419	0.097299	1.781809	3.161704	1.038381	0.022749	0.024057	0.007636	-0.137655	-0.189920	0.064984	-0.123768	-0.093298	0.052656	1407.553634	1135.840332	240.793015	1.345808	1.478293	0.110186	0.740427	0.755568	0.085303	4.781892	5.014273	1.244431	2.483796	2.686573	0.364811	191.072418	191.079086	0.002345	0.996816	0.996816	0.000000	22.154323	21.443674	1.385616	1.781809	3.161704	1.038381	3.718905	3.686886	0.024843	4.225646	4.213603	0.009365	85.830826	86.154488	0.394873	4.855525	4.935499	0.076886	-3.345055	-3.342198	0.002328	0.000000	0.000000	0.000000	579.736084	579.734985	0.001501	0.002472	0.002367	0.000050	1523.783569	1623.608521	186.581512	0.724253	0.724065	0.000337
