,experiment_name,start_time,flow_rate,reaction_volume,tags,Cl2 LabJack: Cl2 reading minus zero (mV) baseline,Cl2 LabJack: Cl2 reading minus zero (mV) conversion,Cl2 LabJack: Cl2 reading minus zero (mV) conversion variance due to noise,Selected: CH4 (ppm) baseline,Selected: CH4 (ppm) conversion,Selected: CH4 (ppm) conversion variance due to noise
26,12-18-24 Radical Count 2-15 ppm,101.07,200,510.3512955000001,UV_distance_conv=50,93.99032258064514,74.71612903225804,0.004278876170655817,,,
27,12-18-24 Radical Count 2-15 ppm,169.77,200,510.3512955000001,UV_distance_conv=50,44.09354838709677,33.574193548387086,0.006951588127446558,,,
28,12-18-24 Radical Count 2-15 ppm,230.48,200,510.3512955000001,UV_distance_conv=50,16.322580645161295,11.025806451612905,0.004112382934443349,,,
29,"12-16-24 Sweep Cl2, 2ppm CH4",84.9,200,510.3512955000001,UV_distance_conv=50,30.696774193548386,19.922580645161286,0.021379652605459036,2.016954838709677,0.9270196657482872,3.98985866379991e-06
30,"12-16-24 Sweep Cl2, 2ppm CH4",146.1,200,510.3512955000001,UV_distance_conv=50,71.32903225806454,34.32258064516131,0.0362215285004047,1.9878032258064515,1.7313516731718515,2.68920551811535e-07
31,"12-16-24 Sweep Cl2, 2ppm CH4",207.3,200,510.3512955000001,UV_distance_conv=50,15.125806451612904,10.103225806451615,0.033046069435247336,2.028941935483871,0.47209354838709694,2.0542218413553658e-07
32,"12-16-24 Sweep Cl2, 5ppm CH4",95.57,200,510.3512955000001,UV_distance_conv=50,76.20645161290322,39.46451612903226,0.029549080818591603,4.701725806451613,3.862551612903226,3.397836185965274e-06
33,"12-16-24 Sweep Cl2, 5ppm CH4",156.93,200,510.3512955000001,UV_distance_conv=50,119.93225806451613,38.896774193548424,0.038243496357960545,4.320270967741935,4.046758064516129,4.636058175959193e-05
34,"12-16-24 Sweep Cl2, 5ppm CH4",218.15,200,510.3512955000001,UV_distance_conv=50,42.73548387096775,27.81290322580646,0.08617472741256826,5.119025806451614,2.6981129032258067,4.252420328287072e-05
35,"12-16-24 Sweep Cl2, 5ppm CH4",304.37,200,510.3512955000001,UV_distance_conv=50,84.3967741935484,53.75161290322579,0.0032105445716268154,9.397503225806453,5.576645161290323,5.516491766201041e-06
36,"12-16-24 1 and 5 ppm Cl2, 2ppm CH4",31.53,200,510.3512955000001,UV_distance_conv=50,5.370967741935487,2.48064516129032,0.0031120360735344657,2.0313387096774194,0.13506451612903247,5.403384632236342e-08
37,"12-16-24 1 and 5 ppm Cl2, 2ppm CH4",112.75,200,510.3512955000001,UV_distance_conv=50,76.74193548387096,30.429032258064517,0.01248131681014094,1.9926967741935484,1.7741483870967742,6.96881224914541e-08
38,12-2 Light Distance Log 1,220.0,200,510.3512955000001,light_pos='11';type='ch4_conv',32.48940397350988,24.93207064017654,0.008385429255052125,28.75757615894038,15.695338825607053,0.00040686937974241755
39,12-2 Light Distance Log 1,256.33,200,510.3512955000001,light_pos='11';type='rad_count',33.56399999999999,29.13533333333333,0.0025557629629628558,2.3668680000000006,-0.013177333333330488,8.819090229276971e-08
40,12-2 Light Distance Log 3,88.0,200,510.3512955000001,light_pos='25';type='rad_count',19.42119205298011,16.4119205298013,0.0047068111047761175,2.4486735099337733,-0.023766225165564592,3.574683278766394e-08
41,12-2 Light Distance Log 3,265.0,200,510.3512955000001,light_pos='25';type='ch4_conv',20.730000000000032,14.3790066225166,0.0029607724320082525,28.17916466666667,17.337964004415017,0.0005330035293787196
42,12-2 Light Distance Log 4,46.0,200,510.3512955000001,light_pos='18';type='rad_count',29.366000000000017,24.38466666666668,0.02893690598290602,2.167730000000001,-0.016340666666664116,4.4997768454026395e-07
43,12-2 Light Distance Log 4,210.0,200,510.3512955000001,light_pos='HP';type='rad_count',48.021192052980126,40.91721854304635,0.03425623354030002,2.111879470198676,-0.14410794701986784,2.6788348459708427e-06
44,12-2 Light Distance Log 4,285.0,200,510.3512955000001,light_pos='HP';type='ch4_conv',48.57615894039735,36.54172185430461,0.231220294697335,28.83797814569537,15.893707947019866,0.00016644211876672073
45,12-2 Light Distance Log 4,384.0,200,510.3512955000001,light_pos='18';type='ch4_conv',19.789333333333346,13.358869757174407,0.028965118537390647,28.212075333333342,12.86342301545255,0.002197617420623007
46,01-31-25 NO Sweep,32.35,200,510.3512955000001,UV_distance_conv=50,101.98387096774195,78.43872145043562,0.009472091711425759,30.300365983947557,14.889026307289203,0.0061793185117944216
47,01-31-25 NO Sweep,110.42,200,510.3512955000001,UV_distance_conv=50,108.03870967741938,80.38787251923202,0.011383204223995004,29.599403528751832,14.476040094936199,0.0010788884374415006
48,01-31-25 NO Sweep,181.95,200,510.3512955000001,UV_distance_conv=50,108.65806451612902,80.62040667943091,0.013937160365360112,29.386177767565883,14.293685392155478,0.0012078707182773016
49,01-31-25 NO Sweep,253.5,200,510.3512955000001,UV_distance_conv=50,111.02258064516128,50.87722385141744,0.018201641808301604,29.18657635404772,12.915426958437777,0.0025602950142585845
50,01-31-25 NO Sweep,325.05,200,510.3512955000001,UV_distance_conv=50,115.84838709677423,-10.145161290322548,0.02213705961052489,29.534036385356437,4.4303104040259385,0.0016090516733063263
